Career (Small List),Matched Career (Large List)
STEM Education Consultant,Educational Psychologist
Actuary,Actuary
Statistical Analyst,Statistical Assistant
Pharmaceutical Scientist,Pharmaceutical Chemist
Event Planner with a STEM Focus,"Meeting, Conference, and Event Planner"
Pharmaceutical Scientist ,Pharmaceutical Chemist
Web Developers,Front-End Developer
Compliance Officer,Information Officer
Automation Engineer,Automation Specialist
Social Media Manager,Marketing &amp; Social Media Manager
Freight Broker,Broker
Statistician,Statistician
Veterinary Technician,Veterinary Clinical Assistant
Medical Facility Manager,Hospital Administrator
Public Health Educator ,Health Educator
Medical and Health Services Manager,Health Club Manager
Public Health Educator,Health Educator
Clinical Research Financial Coordinator,Finance Insurance &amp; Registration Coordinator
Regulatory Affairs Specialist,"Member, Administrative Tribunal"
Pharmaceutical Sales Representative,Medical Sales Representative
Nutritionist/Dietitian for Hospitality,Nutritionist
Occupational Therapist,Occupational Therapist
Regulatory Affairs Specialist,"Member, Administrative Tribunal"
Environmental Health Specialist,Environmental Scientist
Clinical Research Coordinator,"Laboratory Assistant, Clinical"
Product Manager in Biotech,Product Brand Manager
Biomedical Supply Chain Manager,Supply Chain Manager - Life Science
Biostatistician,"Physician, Bio-Chemic"
Agricultural Policy Analyst,Agriculture Field Officer
Building Code Compliance Officer,Building Operator
Telecommunications Regulatory Consultant,Contracts Officer (Telecom)
Contract Manager,Personnel Manager
Special Education Lawyer,Legal Assistant
Corporate Finance Lawyer,Finance Agent
Legislative Analyst,Budget Analyst
Pharmaceutical Regulatory Attorney,Pharmacologist
Travel and Tourism Consultant,Travel Consultant
Nonprofit Organization Lawyer,Attorney at Law
Public Defender,Public Prosecutor
Product Liability Attorney,Purchasing Agent
Marketing Compliance Officer,Commercial Executive/Officer
Market Research Analyst,Market Research Analyst
Warehouse Compliance Manager,Warehouse Supervisor
Cybersecurity Compliance Consultant,Security Supervisor
Natural Resource Manager,Human Resource Manager
Building Inspector,Material Inspector
Film and Video Editor,Film Producer
Business Consultant,Sales Consultant (Institutional Sales)
Education Policy Analyst,Operations Research Analyst
Budget Analyst,Budget Analyst
Legislative Assistant,Legal Assistant
Healthcare Consultant,"Nurse, Specialist"
Tour Guide,Tourist Guide
Rehabilitation Counselor,Vocational Rehabilitation Counsellor
Cybersecurity Analyst,Security Officer
Correctional Officer,Security Officer
Logistics Manager,Transport Manager
Public Relations Specialist,Public Relations Officer
Transportation Planner,Traffic Planner
Software Developer,Embedded Software Engineer
Natural Resources Manager,Human Resource Manager
Facility Manager,Personnel Manager
Audio/Visual Systems Manager,Sound Editor
Supply Chain Manager,Supply Chain Manager - Life Science
Education Administrator,"Principal, College"
Accountant,Accountant
Urban and Regional Planner,Town Planner
Healthcare Consultant,"Nurse, Specialist"
Tourism Development Specialist,Tourist Guide
Nonprofit Organization Director,Human Resource Manager
Information Security Analyst,Operations Research Analyst
Loss Prevention Manager,"Director, Disaster Management Services"
Plant Manager,"Manager, Plantation"
Advertising Manager,"Manager, Advertising and Promotion"
Distribution Manager,Home Delivery Manager
Financial Data Analyst,Financial Analyst
Sustainable Farming Advocate,"Manager, Agriculture Farm"
Interior Designer,Interior Designer
Sound Designer,Sound Designer
Brand Manager,Brand Manager
Museum Educator,Museum Curator
Grant Manager,Service Advisor
Cultural Heritage Manager,Museum Curator
Health Communications Specialist,Medical Records and Health Information Technician
Cultural Heritage Site Manager,Museum Curator
Youth Program Coordinator (Arts),"Senior Secondary and Secondary School Teacher, Arts"
Visual Effects (VFX) Artist,Rendering Artist
Museum Security Specialist,Security Officer
Custom Furniture Designer,Furniture Designer
Social Media Manager (Arts Focus),Marketing &amp; Social Media Manager
Tour Manager (Performing Arts),"Manager, Recreation and Entertainment"
Medical Animator,Animator
Environmental Scientist,Environmental Scientist
Building Inspector,Material Inspector
Social Media Manager (Sports),Marketing &amp; Social Media Manager
Operations Manager (Sports Facility),"Manager, Recreation and Entertainment"
Fitness Trainer Educator,Fitness Trainer
Risk Management Specialist,Risk Management Analyst
Urban Recreation Planner,Town Planner
Sports Medicine Physician,Medical Physiologist
Travel Consultant (Sports),Travel Consultant
Nonprofit Program Manager (Sports),"Manager, Recreation and Entertainment"
E-Sports Manager,Sports Coach
Regulatory Affairs Manager (Sports),"Manager, Recreation and Entertainment"
Inventory Control Specialist (Sports Products),Inventory Manager
Advertising Account Executive (Sports),Account Executive (Advertising Agency)
Distribution Manager (Sports Goods),"Manager, Recreation and Entertainment"
Exercise Scientist,Fitness Trainer
Sustainable Agriculture Consultant,"Manager, Agriculture Farm"
Architectural Historian,Architect
Audio/Visual Technician,Sound Engineer
Corporate Trainer,Trainer
Training Specialist,Trainer
Financial Consultant,Finance Agent
Grant Writer,Biographer
Clinical Research Coordinator,"Laboratory Assistant, Clinical"
Food and Beverage Manager,"Manager, Fast Food Service"
Community Organizer,Child Welfare Organizer
Cybersecurity Awareness Trainer,Physical Security Trainer
Victim Advocate,Advocate
Manufacturing Compliance Specialist,Factory Compliance Auditor
Public Relations Manager,Public Relations Officer
Import/Export Coordinator,"Manager, Import and Export"
Project Manager for STEM Initiatives,Product Development Manager
Public Relations Specialist in Agribusiness,Public Relations Officer
Architecture Podcast Host,Radio Commentator
Sound Designer,Sound Designer
Brand Strategist,Product Brand Manager
Public Speaking Coach,Programme Announcer
Financial Podcast Host,Radio Commentator
Policy Analyst (Media Focus),Market Research Analyst
Health Podcaster,Radio Commentator
Travel Content Creator,Travel Consultant
Human Services Content Creator,Human Resource Manager
Tech Podcast Host,Radio Commentator
Forensic Science Communicator,Forensic Science Technician
Technical Writer (Manufacturing),"Mechanic, Printing Machinery"
Public Relations Specialist,Public Relations Officer
Social Media Manager (Transportation),Marketing &amp; Social Media Manager
Public Relations Specialist (STEM),Public Relations Officer
Environmental Consultant,Environmental Scientist
Sustainable Building Consultant,Building Caretaker
Multimedia Artist,Commercial Artist
Retail Space Designer,Design Merchandiser
Corporate Trainer,Trainer
Bank Marketing Designer,Bank Manager
Civic Monument Designer,Monument Caretaker
Medical Exhibit Designer,Medical Laboratory Technician
Tourism Experience Designer,Travel Consultant
Senior Living Architect,Architect
Cybersecurity Facility Designer,Security Supervisor
Emergency Operations Center Designer,Emergency Medical Technician - Basic
Product Designer,Product Design Manager
Trade Show Exhibit Designer,Design Merchandiser
Vehicle Interior Designer,Automobile Designer
Occupation F,General Worker
Agricultural Inspectors,Agriculture Field Officer
Construction and Building Inspectors,"Works Inspector, Engineering"
Broadcast News Analysts,News Reporter
Industrial Engineer,Industrial Engineer
Corporate STEM Trainer,Trainer
Financial Engineer,Financial Analyst
Public Health Administrator,Hospital Administrator
Public Health Analyst,Health Officer
Tourism Researcher,Tourist Guide
Public Health Analyst,Health Officer
Machine Learning Engineer,Machine Designer
Intelligence Analyst,Financial Analyst
Supply Chain Analyst,Supply Chain Field Assistant
Email Marketing Specialist,Digital Marketing Manager
Transportation Safety Specialist,"Traffic Inspector, Railway"
Civil Engineer,Civil Engineer
Food Safety Inspector,Fisheries Inspector
Biophilic Design Consultant,Biomedical Engineer
Science Communicator,Environmental Scientist
Biotechnology Project Manager,Food/Chemical Technologist
Laboratory Instructor,Laboratory Attendant
Investment Analyst (Healthcare Sector),Financial Analyst
Environmental Health Scientist,Environmental Scientist
Genetic Counselor,Genealogist
Travel Health Advisor,Travel Consultant
Health Services Researcher,Health Educator
Health IT Project Manager,Public Health System Design Engineer
Medical Legal Consultant,Legal Assistant
Regulatory Affairs Specialist,"Member, Administrative Tribunal"
Digital Marketing Specialist (Healthcare),Digital Marketing Manager
Emergency Medical Services (EMS) Logistics Coordinator,Emergency Medical Technician - Basic
Health Informatics Specialist,Medical Records and Health Information Technician
Land Use Attorney,"Manager, Land Survey"
Architectural Review Board Member,Architect
Digital Media Compliance Officer,Publicity Officer
Employment Lawyer,Attorney at Law
Teacher Contracts Specialist,Middle School Teacher
Insurance Regulatory Consultant,Insurance Agent
Civil Rights Lawyer,Attorney at Law
Patient Advocate,Advocate
Food and Beverage Compliance Officer,Food &amp; Beverage Service - Steward
Elder Law Attorney,Attorney at Law
Law Enforcement Consultant,Attorney at Law
Intellectual Property Attorney,Copyright Clerk
Advertising Attorney,Advertising Sales Agent
Transportation Lawyer,Transport Manager
Aviation Attorney,Aerodrome Officer
STEM Policy Advisor,Service Advisor
Agricultural Economist,Economist
Sustainability Coordinator,Ecologist
Event Planner,"Meeting, Conference, and Event Planner"
Supply Chain Manager,Supply Chain Manager - Life Science
Special Education Teacher,Middle School Teacher
Tax Advisor,Service Advisor
Public Relations Specialist (Government),Public Relations Officer
Medical Social Worker,Medical Social Worker
Hospitality Trainer,Fitness Trainer
Youth Worker,Village Level Worker
UX Designer,Interior Designer
Fire Inspector,Fire Inspector
Health and Safety Engineer,Safety Engineer
Content Marketing Manager,Digital Marketing Manager
Distribution Manager,Home Delivery Manager
Biostatistician,"Physician, Bio-Chemic"
Food Marketing Specialist,Product Brand Manager
Construction Superintendent,"General Manager, Construction"
Digital Content Strategist,Digital Marketing Manager
Entrepreneur/Business Owner,"Working Proprietor, Manufacturing"
E-learning Specialist,Automation Specialist
Credit Analyst,Financial Analyst
Public Affairs Specialist,Public Relations Officer
Medical Device Sales Manager,Medical Sales Representative
Food and Beverage Manager,"Manager, Fast Food Service"
Geriatric Care Manager,Hospital Administrator
Software Development Manager,Product Development Manager
Correctional Facility Manager,Security Officer
Manufacturing Engineer,Production Engineer
Market Research Analyst,Market Research Analyst
Freight Forwarder,Haulage Engine Driver
IT Project Manager,IT Coordinator in School
Wildlife Photographer/Videographer,Aerial Photographer
Sustainable Construction Advocate,Infrastructure Engineer
Art Director,Art Director
Museum Curator,Museum Curator
Performing Arts Director (Education),Art Director
Arts Fundraiser,Auctioneer
Museum or Gallery Director (Public Sector),Art Director
Dance Movement Therapist,Dance Director
Travel Photographer,Photographer
Non-Profit Program Director (Arts Services),Art Director
Digital Content Creator (Arts),Theatrical and Media Make-Up Artist
Contract Negotiator (Arts and Media),Commission Agent
Textile Designer (Manufacturing),Textile Designer
Public Relations Specialist (Creative Arts),Public Relations Officer
Art Installation Specialist,Engraving Artisan
Science Communicator (Visual Arts),"Environmental Science and Protection Technician, Including Health"
Animal Nutritionist,Animal Nutritionist
Sustainability Consultant,Ecologist
Event Coordinator (Sports),Sports Coach
Corporate Partnerships Manager (Sports),"Manager, Recreation and Entertainment"
Camp Director (Sports),Sports Coach
Athlete Financial Advisor,Financial Analyst
Community Sports Liaison,Sports Coach
Health Coach (Sports Focus),Sports Coach
Resort Activities Coordinator,"Manager, Recreation and Entertainment"
Sports Volunteer Coordinator,Sports Coach
Social Media Analyst (Sports),Professional Athlete
Sports Investigator,Professional Athlete
Product Designer (Sports Equipment),Equipment Designer
Event Marketing Specialist (Sports),Sports Coach
Event Transportation Specialist,Travel Consultant &amp; Organiser
Sports Technology Developer,Professional Athlete
Market Research Analyst,Market Research Analyst
Construction Marketing Specialist,"Manager, Construction"
Media Planner,Planner
Sales Manager,Sales Manager
Academic Advisor,Service Advisor
Corporate Treasurer,Accountant
International Relations Specialist,Diplomat
Public Health Policy Advisor,Health Educator
Marketing Manager for Tourism,Digital Marketing Manager
Grant Manager,Service Advisor
Digital Marketing Specialist,Digital Marketing Manager
Court Reporter,Reporter
Process Improvement Coordinator,Manager Process Engineering
Social Media Strategist,Marketing &amp; Social Media Manager
Transportation Operations Manager,Transport Manager
Environmental Scientist,Environmental Scientist
Food and Agriculture Podcast Host,Nutritionist
Construction Public Relations Specialist,"Manager, Construction"
Social Media Content Manager,Marketing &amp; Social Media Manager
Public Relations Manager,Public Relations Officer
Education Program Coordinator,IT Coordinator in School
Corporate Finance PR Manager,"General Manager, Bank"
Political Campaign Media Consultant,Political Worker
Health Marketing Specialist,Medical Sales Representative
Hospitality Marketing Coordinator,"Manager, Lodging and Catering Services"
Social Media Manager (Non-Profit),Marketing &amp; Social Media Manager
Tech Content Creator,ICT Engineer
Social Media Manager (Law Enforcement),Marketing &amp; Social Media Manager
Social Media Manager (Manufacturing),Marketing &amp; Social Media Manager
Social Media Marketing Manager,Marketing &amp; Social Media Manager
Corporate Communications Officer (Logistics),Contracts Officer (Telecom)
Social Media Manager (STEM),Marketing &amp; Social Media Manager
Greenhouse Designer,Greenhouse Fitter
Civil Engineer,Civil Engineer
Lighting Designer,Lighting Artist
Product Designer,Product Design Manager
Education Program Coordinator,IT Coordinator in School
Financial Event Designer,Finance Agent
Environmental Policy Consultant,Environmental Scientist
Rehabilitation Space Designer,Physical Security Trainer
Sustainable Hospitality Designer,Furniture Designer
Shelter Designer,Furniture Designer
Smart Home Designer,Assistant Designer - Home Furnishing
Disaster Shelter Architect,"Director, Disaster Management Services"
Furniture Designer,Furniture Designer
Marketing Campaign Designer,Advertising Sales Agent
Smart Mobility System Designer,Traffic Planner
Occupation G,General Worker
Food Service Managers,"Manager, Fast Food Service"
Surveyors,Surveyor Topographical
Digital Media Specialists,Reporter
Management Analyst,Operations Research Analyst
Online STEM Course Developer,Front-End Developer
Investment Banker,Finance Agent
Cybersecurity Specialist,Security Supervisor
Genetic Counselor,Genealogist
Smart Hospitality Consultant,"Manager, Lodging and Catering Services"
Genetic Counselor,Genealogist
IT Project Manager,IT Coordinator in School
Public Safety Officer ,Security Officer
Process Technician,Maintenance Technician
Brand Manager ,Brand Manager
Logistics Engineer,Warehouse Worker
Research Scientist,Environmental Scientist
Agricultural Extension Officer,Agriculture Extension Executive
Sustainable Construction Specialist ,Construction Work Supervisor
Health and Wellness Blogger/Vlogger ,
Healthcare Consultant,"Nurse, Specialist"
Curriculum Developer for Health Sciences,Health Educator
Healthcare Consultant,"Nurse, Specialist"
Health Educator,Health Educator
Medical Laboratory Technician,Medical Laboratory Technician
Event Coordinator for Health-related Conferences,"Meeting, Conference, and Event Planner"
Substance Abuse Counselor,Vocational Rehabilitation Counsellor
Medical Software Developer,Medical Equipment Technician
Criminal Investigator,Detective
Biomanufacturing Technician,Biomedical Equipment Technician
Market Research Analyst (Life Sciences),Market Research Analyst
Healthcare Transportation Manager,Transport Manager
Regulatory Affairs Specialist,"Member, Administrative Tribunal"
Food Law Consultant,Food Chemist
Environmental Impact Assessor,Environmental Compliance Inspector
Arts Organization Legal Advisor,Legal Assistant
Franchise Lawyer,Broker
Charter School Attorney,"Principal, College"
Estate Planning Attorney,Attorney at Law
Municipal Lawyer,Attorney at Law
Public Health Policy Advisor,Health Educator
Resort Development Attorney,Attorney at Law
Disability Rights Lawyer,Legal Assistant
Corrections Officer,Probation Officer
Supply Chain Legal Advisor,Supply Chain Field Assistant
Intellectual Property Manager,Product Development Manager
Logistics Compliance Officer,Aircraft Cargo Handling Supervisor
Intellectual Property Risk Manager,Risk Management Analyst
Wildlife Conservationist,Zoologist
Land Use Analyst,"Manager, Land Survey"
Social Media Manager,Marketing &amp; Social Media Manager
Financial Analyst,Financial Analyst
Educational Administrator,"Principal, College"
Actuary,Actuary
Foreign Service Officer,"Station Officer, Overseas Communication"
Epidemiologist,Toxicologist
Catering Manager,Assistant Catering Manager
Crisis Intervention Specialist,"Director, Disaster Management Services"
Network Administrator,Network Management Engineer
Security Manager,Security Supervisor
Maintenance Manager,Maintenance Supervisor
Event Marketing Coordinator,Sales Coordinator
Customs Broker,Broker
User Experience (UX) Researcher,Script Researcher
Farm Operations Manager,"Manager, Agriculture Farm"
Urban Planner,Town Planner
Event Production Manager,Manager Process Engineering
Project Manager,"Manager, Construction"
Education Consultant,Educational Psychologist
Tax Manager,"Manager, Insurance"
Human Resources Specialist (Government),Human Resource Manager
Public Health Administrator,Hospital Administrator
Cruise Director,"Chief Officer, Ship"
Life Coach,Lifeguard
Business Intelligence Analyst,Operations Research Analyst
Fire Chief,Fire Officer
Industrial Production Manager,Unit Production Manager
Sales Manager,Sales Manager
Customs Broker,Broker
E-commerce Manager,"Manager, Retail Trade"
Farmers Market Coordinator,"Manager, Agriculture Farm"
Artistic Construction Consultant,Construction Painter and Decorator
Animator,Animator
Talent Manager,Personnel Manager
Workshop Facilitator (Arts),Workshop Manager
Cultural Economist,Economist
Creative Industries Liaison,Product Development Manager
Hospital Art Program Coordinator,Art Director
Destination Marketing Specialist,Travel Consultant
Drama Therapist,Counselling Psychologist
Web Designer (Art-Focused),Online Sample Designer
Legal Consultant for Arts Organizations,Art Director
Lighting Designer (Theatrical/Production),Lighting Artist
Exhibition Marketer,Auctioneer
Event Logistics Coordinator (Arts and Entertainment),"Manager, Recreation and Entertainment"
Biotech Product Designer (Art Focus),Product Design Manager
Soil and Water Conservationist,Soil Conservationist
Quantity Surveyor,Mine Surveyor
Sports Journalist,News Reporter
Fitness Center Manager,Fitness Trainer
Youth Sports Program Coordinator,Sports Coach
Sponsorship Coordinator,Vendor Development Executive
Public Health Educator (Sports Focus),Health Educator
Sports Biomechanist,Professional Athlete
Sports Concierge,Sports Coach
Fitness Program Director,Fitness Trainer
Information Systems Manager (Sports),"Manager, Recreation and Entertainment"
Public Safety Coordinator (Sports Events),"Manager, Recreation and Entertainment"
Assembly Line Supervisor (Sports Gear),Assembly Line Supervisor
Sponsorship Sales Manager (Sports),Brand Manager
Warehouse Manager (Sports Equipment),Warehouse Supervisor
Sports Statistician,Professional Athlete
Food Safety Inspector,Fisheries Inspector
Building Codes Consultant,Building Operator Cables
Graphic Designer,Interior Designer
Business Analyst,Financial Analyst
Language Program Director,Language Specialist
Tax Specialist,Cancer Specialist
Legislative Assistant,Legal Assistant
Healthcare Marketing Specialist,Medical Sales Representative
Customer Experience Manager,Customer Relationship Manager
Advocacy Coordinator,Advocate
Social Media Manager,Marketing &amp; Social Media Manager
Legal Communications Specialist,Legal Assistant
Manufacturing Marketing Specialist,"Manager, Manufacturing"
Advertising Coordinator,Advertising Operations Coordinator (Digital)
Fleet Manager,"Chief Officer, Ship"
Bioinformatics Specialist,Genealogist
Agricultural Event Planner,Family Planning Organizer
Design Marketing Coordinator,Product Design Manager
Public Relations Specialist,Public Relations Officer
Event Planner,"Meeting, Conference, and Event Planner"
Media Educator,Programme Announcer
Financial Copywriter,Broker
Government Content Creator,Government Advocate
Health Education Media Specialist,Health Educator
Travel Blogger/Vlogger,Business Correspondent
Public Health Advocate,Health Educator
Cybersecurity Communications Advisor,Security Supervisor
Corrections Media Relations Specialist,Public Relations Officer
Public Relations Manager (Industrial Firms),Public Relations Officer
Advertising Copywriter,Advertisement Writer
Logistics Marketing Coordinator,Transport Coordinator
Science Communicator,Environmental Scientist
Agroforestry Designer,Agricultural Engineer
Restoration Architect,Architect
Exhibition Planner,Planner
Operations Manager,Service Office Manager
Curriculum Designer,Package Designer
Financial Product Packaging Designer,Packaging Engineer
Community Engagement Designer,Online Sample Designer
Pharmaceutical Retail Designer,Pharmacist
Theme Park Designer,Interior Designer
Therapeutic Garden Designer,Gardener
Digital Product Designer,Product Design Manager
Fire Station Designer,Fire Protection Systems Design Engineer
Textile Designer,Textile Designer
Retail Signage Designer,Design Merchandiser
Port and Harbor Architect,Naval Architect
Occupation H,General Worker
Renewable Energy Specialists,Solar Energy System Designer
Building Information Modeling (BIM) Specialists,
Art Directors,Art Director
Product Manager,Product Brand Manager
STEM Program Director (Youth Development),Business Development Executive
Blockhain Financial Analyst,Financial Analyst
Research Scientist (Government),Political Scientist
Toxicologist,Toxicologist
Culinary Scientist,Food Chemist
Toxicologist ,Toxicologist
Cloud Solutions Architect ,
Security Consultant,Security Supervisor
Research and Development (R&D) Engineer,Prototyping Engineer
Marketing Technology Specialist,Digital Marketing Manager
Fleet Manager,"Chief Officer, Ship"
.Biomedical Engineer,Biomedical Engineer
Biotechnology Research Scientist ,Biological Chemist
Health and Wellness Interior Designer,Interior Designer
Clinical Research Coordinator,"Laboratory Assistant, Clinical"
Clinical Data Manager,Medical Records and Health Information Technician
Science Communication Specialist,Environmental Scientist
Risk Manager in Healthcare,"Manager, Insurance"
Public Health Inspector,Police Inspector
Health Services Manager,Health Club Manager
Sustainability Consultant in Tourism,Travel Consultant
Genetic Counselor,Genealogist
Public Safety Officer,Security Officer
Manufacturing Process Engineer,Production Engineer
Medical Device Sales Specialist,Medical Sales Representative
Regulatory Affairs Specialist in Logistics,Transport Service Operator
Toxicologist,Toxicologist
Wildlife Conservation Lawyer,Animal Keeper
Contract Administrator,Personnel Manager
Film and Television Contract Specialist,Film Producer
Risk Management Consultant,Risk Management Analyst
Training Compliance Specialist,Certified Training Assessor
Financial Litigation Lawyer,Attorney at Law
Public Defender,Public Prosecutor
Healthcare Fraud Investigator,Medical Records and Health Information Technician
Hospitality Risk Manager,"Manager, Lodging and Catering Services"
Community Organizer,Child Welfare Organizer
Policy Advisor for Public Safety,"Director, Disaster Management Services"
Research Compliance Officer,Environmental Compliance Inspector
Climate Change Analyst,Climate Change &amp; Risk Mitigation Manager
Construction Health and Safety Officer,Occupational Health and Safety Specialist
Visual Effects Specialist,Vision Technician
Customer Service Manager,Customer Relationship Manager
Educational Researcher,Educational Psychologist
Compliance Officer,Information Officer
Urban Planner,Town Planner
Mental Health Counselor,Counselling Psychologist
Conference Services Manager,Service Office Manager
Substance Abuse Counselor,Vocational Rehabilitation Counsellor
Data Analyst,Financial Analyst
Public Safety Dispatcher,"Traffic Inspector, Tram"
Production Supervisor,Production Planning Supervisor
Sales Manager,Sales Manager
Freight Forwarder,Haulage Engine Driver
Supply Chain Manager (Agriculture),"Manager, Food Processing Plant"
Sustainability Consultant (Construction),"Manager, Construction"
Social Media Manager,Marketing &amp; Social Media Manager
Customer Service Manager,Customer Relationship Manager
Student Affairs Manager,Guest Relations Manager
Budget Analyst,Budget Analyst
Contract Specialist,Contracts Officer (Telecom)
Health Policy Analyst,Public Health System Design Engineer
Lodging Operations Manager,"Manager, Lodging and Catering Services"
Childcare Center Director,Child Care Worker
Help Desk Manager,Service Office Manager
Emergency Management Director,"Director, Disaster Management Services"
Logistics Manager,Transport Manager
Public Relations Manager,Public Relations Officer
Transportation Planner,Traffic Planner
Data Governance Specialist,Territory Service Manager
Agricultural Documentary Filmmaker,Agricultural Engineer
Public Art Installer,Art Director
Broadcast Technician,Radio Technician
Creative Consultant,Creative Writer
Arts Education Advocate,Art Teacher
Arts Organization Treasurer,Art Director
Arts Commission Member,Art Director
Arts in Medicine Practitioner,Medical Physiologist
Artistic Director (Tourist Venues),Art Director
Arts Outreach Specialist,Art Teacher
Data Visualization Specialist,"Viewer, Workshop"
Food Product Developer,Food Chemist
Architectural Drafter,Architect
Sports Video Editor,Sports Coach
Ticket Sales Manager (Sports),"Manager, Recreation and Entertainment"
Health Educator,Health Educator
Revenue Manager (Sports),"General Manager, Recreation and Entertainment"
Policy Advisor (Sports Development),Sports Coach
Rehabilitation Specialist,Vocational Rehabilitation Counsellor
Destination Marketing Manager,Digital Marketing Manager
Advocacy Specialist (Sports),Advocate
Sports Technology Consultant,Sports Coach
Legal Consultant (Sports),Legal Assistant
Sustainability Specialist (Manufacturing),"Manager, Manufacturing"
Social Media Strategist (Sports),Marketing &amp; Social Media Manager
Shipping Coordinator (Sports),Transport Coordinator
Athletic Trainer (with STEM focus),Fitness Trainer
Nutrition Educator,Nutritionist
Design Coordinator,Design Engineer
Cultural Program Coordinator,Language Specialist
Project Manager,"Manager, Construction"
Online Course Developer,Front-End Developer
Risk Management Specialist,Risk Management Analyst
Public Health Administrator,Hospital Administrator
Community Health Worker,Frontline Health Worker
Cultural Events Planner,"Meeting, Conference, and Event Planner"
Volunteer Coordinator,Human Resource Manager
Information Systems Consultant,Information Officer
Policy Advisor for Public Safety,"Director, Disaster Management Services"
Training Specialist for Manufacturing,Product Specialist Engineer
Marketing Communications Specialist,Digital Marketing Manager
Warehouse Manager,Warehouse Supervisor
Science Communication Specialist,Environmental Scientist
Farm-to-Table Media Specialist,News Reporter
Urban Planning Communications Consultant,Town Planner
Film and Video Producer,Film Producer
Content Marketing Manager,Digital Marketing Manager
Educational Video Producer,Film Producer
Social Media Manager (Finance),Marketing &amp; Social Media Manager
Social Media Strategist (Public Sector),Marketing &amp; Social Media Manager
Medical Social Media Manager,Marketing &amp; Social Media Manager
Destination Marketing Specialist,Travel Consultant
Fundraising Communications Specialist,Advocate
IT Marketing Specialist,Digital Marketing Manager
Public Safety Communications Manager,Director of Communications
Trade Show Media Coordinator,"Manager, Retail Trade"
Marketing Communications Specialist,Digital Marketing Manager
Freight Industry Public Relations Consultant,"Goods Supervisor, Road Transport"
STEM Event Coordinator,"Meeting, Conference, and Event Planner"
Water Resources Engineer,Waterworks Engineer
Landscape Designer,Surveyor Topographical
Creative Director,Art Director
Strategic Planner,Planner
Online Learning Designer,Online Sample Designer
Real Estate Investment Designer,Real Estate Agent (House Agent)
Sustainable Infrastructure Designer,Infrastructure Engineer
Healthcare Branding Designer,Medical Sales Representative
Retail Space Designer (Tourism),Design Merchandiser
Non-Profit Branding Designer,Product Brand Manager
IT Conference Space Designer,Computer Designer
Public Safety Facility Consultant,Safety Engineer
Tool and Equipment Designer,Equipment Designer
Digital Media Designer,Computer Designer
Sustainable Transport Designer,Transport Coordinator
